NAME,B25075_001E,B25075_002E,B25075_003E,B25075_004E,B25075_005E,B25075_006E,B25075_007E,B25075_008E,B25075_009E,B25075_010E,B25075_011E,B25075_012E,B25075_013E,B25075_014E,B25075_015E,B25075_016E,B25075_017E,B25075_018E,B25075_019E,B25075_020E,B25075_021E,B25075_022E,B25075_023E,B25075_024E,B25075_025E,state,county,tract,year
"Census Tract 2516, Cook County, Illinois",445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,18.0,25.0,0.0,0.0,0.0,47.0,61.0,33.0,16.0,51.0,133.0,49.0,0.0,0.0,0.0,0.0,17,031,251600,2010
"Census Tract 2517, Cook County, Illinois",230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,57.0,36.0,82.0,10.0,27.0,0.0,0.0,0.0,0.0,17,031,251700,2010
"Census Tract 2518, Cook County, Illinois",361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,14.0,0.0,6.0,20.0,0.0,20.0,0.0,15.0,99.0,93.0,55.0,0.0,28.0,0.0,0.0,17,031,251800,2010
"Census Tract 2519, Cook County, Illinois",412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,11.0,53.0,0.0,60.0,88.0,22.0,98.0,70.0,0.0,0.0,0.0,0.0,0.0,17,031,251900,2010
"Census Tract 2520, Cook County, Illinois",322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,9.0,37.0,66.0,50.0,67.0,59.0,13.0,7.0,0.0,0.0,17,031,252000,2010
"Census Tract 2521.01, Cook County, Illinois",107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,29.0,33.0,0.0,0.0,33.0,0.0,0.0,0.0,17,031,252101,2010
"Census Tract 2521.02, Cook County, Illinois",841.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,12.0,81.0,81.0,114.0,111.0,175.0,69.0,125.0,0.0,0.0,0.0,17,031,252102,2010
"Census Tract 2522.01, Cook County, Illinois",335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,30.0,39.0,27.0,0.0,92.0,0.0,24.0,10.0,24.0,16.0,59.0,0.0,0.0,0.0,0.0,17,031,252201,2010
"Census Tract 2522.02, Cook County, Illinois",390.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,31.0,11.0,10.0,0.0,0.0,11.0,16.0,26.0,100.0,34.0,26.0,103.0,0.0,0.0,0.0,0.0,17,031,252202,2010
"Census Tract 2601, Cook County, Illinois",71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,36.0,11.0,14.0,0.0,0.0,0.0,0.0,0.0,17,031,260100,2010
"Census Tract 2602, Cook County, Illinois",13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,17,031,260200,2010
"Census Tract 2603, Cook County, Illinois",142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,35.0,26.0,31.0,21.0,9.0,0.0,0.0,0.0,0.0,17,031,260300,2010
"Census Tract 2604, Cook County, Illinois",171.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,15.0,0.0,72.0,0.0,26.0,0.0,24.0,0.0,0.0,17,031,260400,2010
"Census Tract 2605, Cook County, Illinois",201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,11.0,31.0,17.0,0.0,40.0,10.0,64.0,0.0,0.0,0.0,0.0,17,031,260500,2010
"Census Tract 2606, Cook County, Illinois",331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,51.0,10.0,56.0,49.0,112.0,31.0,0.0,0.0,0.0,17,031,260600,2010
"Census Tract 2607, Cook County, Illinois",93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,15.0,35.0,0.0,10.0,17.0,0.0,0.0,0.0,17,031,260700,2010
"Census Tract 2608, Cook County, Illinois",215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,20.0,0.0,19.0,9.0,87.0,51.0,0.0,0.0,0.0,17,031,260800,2010
